gene_claim_name	gene_concept_id	gene_name	interaction_source_db_name	interaction_source_db_version	interaction_type	interaction_score	drug_claim_name	drug_concept_id	drug_name	approved	immunotherapy	anti_neoplastic
SLC6A2	hgnc:11048	SLC6A2	ChEMBL	32	inhibitor	0.139103901	PHENDIMETRAZINE TARTRATE	rxcui:33272	PHENDIMETRAZINE	TRUE	FALSE	FALSE
TMP1	NULL	NULL	ChEMBL	32	inhibitor	NULL	FLUCYTOSINE	rxcui:4451	FLUCYTOSINE	TRUE	FALSE	FALSE
MMP13	hgnc:7159	MMP13	ChEMBL	32	inhibitor	0.335113943	DOXYCYCLINE HYCLATE	rxcui:1545992	DOXYCYCLINE ANHYDROUS	TRUE	FALSE	TRUE
GART	hgnc:4163	GART	ChEMBL	32	inhibitor	2.328160022	PEMETREXED DISODIUM	rxcui:282443	PEMETREXED DISODIUM	TRUE	FALSE	TRUE
MET	hgnc:7029	MET	ChEMBL	32	inhibitor	0.520565348	CRIZOTINIB	rxcui:1148495	CRIZOTINIB	TRUE	FALSE	TRUE
MMP8	hgnc:7175	MMP8	ChEMBL	32	inhibitor	2.106430496	DOXYCYCLINE CALCIUM	rxcui:82012	DOXYCYCLINE CALCIUM	TRUE	FALSE	FALSE
MMP13	hgnc:7159	MMP13	ChEMBL	32	inhibitor	0.335113943	DOXYCYCLINE	rxcui:1545992	DOXYCYCLINE ANHYDROUS	TRUE	FALSE	TRUE
BRAF	hgnc:1097	BRAF	ChEMBL	32	inhibitor	0.12770728	SORAFENIB TOSYLATE	rxcui:495881	SORAFENIB	TRUE	FALSE	TRUE
PGR	hgnc:8910	PGR	ChEMBL	32	inhibitor	0.114154943	MIFEPRISTONE	rxcui:6964	MIFEPRISTONE	TRUE	FALSE	FALSE
HMGCR	hgnc:5006	HMGCR	ChEMBL	32	inhibitor	0.786400719	ROSUVASTATIN CALCIUM	rxcui:301542	ROSUVASTATIN	TRUE	FALSE	FALSE
ESR1	hgnc:3467	ESR1	ChEMBL	32	modulator	0.131505137	TOREMIFENE CITRATE	rxcui:38409	TOREMIFENE	TRUE	FALSE	TRUE
OPRK1	hgnc:8154	OPRK1	ChEMBL	32	agonist	0.276901661	HYDROCODONE POLISTIREX	rxcui:221107	HYDROCODONE POLISTIREX	TRUE	FALSE	FALSE
OPRD1	hgnc:8153	OPRD1	ChEMBL	32	agonist	0.44681859	HYDROCODONE POLISTIREX	rxcui:221107	HYDROCODONE POLISTIREX	TRUE	FALSE	FALSE
TUBA1A	hgnc:20766	TUBA1A	ChEMBL	32	inhibitor	0.139031033	COLCHICINE	rxcui:2683	COLCHICINE	TRUE	FALSE	FALSE
TUBB3	hgnc:20772	TUBB3	ChEMBL	32	inhibitor	0.140726534	COLCHICINE	rxcui:2683	COLCHICINE	TRUE	FALSE	FALSE
GRIN3B	hgnc:16768	GRIN3B	ChEMBL	32	inhibitor	0.090738544	ACAMPROSATE CALCIUM	rxcui:152761	ACAMPROSATE CALCIUM	TRUE	FALSE	FALSE
GRIN2B	hgnc:4586	GRIN2B	ChEMBL	32	inhibitor	0.058980054	ACAMPROSATE CALCIUM	rxcui:152761	ACAMPROSATE CALCIUM	TRUE	FALSE	FALSE
GRIN2C	hgnc:4587	GRIN2C	ChEMBL	32	inhibitor	0.189038634	FELBAMATE	rxcui:24812	FELBAMATE	TRUE	FALSE	FALSE
GRIN3B	hgnc:16768	GRIN3B	ChEMBL	32	inhibitor	0.189038634	FELBAMATE	rxcui:24812	FELBAMATE	TRUE	FALSE	FALSE
ADRA2C	hgnc:283	ADRA2C	ChEMBL	32	agonist	0.21064305	GUANABENZ ACETATE	rxcui:227225	GUANABENZ ACETATE	TRUE	FALSE	FALSE
